Key,Summary,Description,Resolution,Status,Priority,Assignee
VDS-1001,User cannot SSH into EC2 instance,"User reports SSH connection refused when trying to connect to dev-ec2-001. Error: Connection refused on port 22. Tried from multiple networks.","Checked security group rules - port 22 was not open from user's IP range. Added inbound rule for SSH (port 22) from corporate IP range 10.0.0.0/8. User confirmed able to connect.",Resolved,High,infra-team
VDS-1002,VPN disconnects every 30 minutes,"Multiple users reporting GlobalProtect VPN drops connection after approximately 30 minutes of inactivity. Affects 15+ users in the Chennai office.","Root cause: Gateway timeout setting was too low (1800s). Updated GlobalProtect gateway session timeout to 7200s (2 hours). Deployed config update. All users confirmed stable connection.",Resolved,High,network-team
VDS-1003,Terraform apply failing with AWS credentials error,"Running terraform apply throws: Error: No valid credential sources found. AWS_ACCESS_KEY_ID is set but AWS_SECRET_ACCESS_KEY is missing. CI pipeline fails.","Updated CI/CD pipeline environment variables in Jenkins. Added missing AWS_SECRET_ACCESS_KEY and AWS_DEFAULT_REGION variables. Terraform apply now succeeds.",Resolved,Medium,devops-team
VDS-1004,Docker container OOMKilled in production,"Service pod in k8s cluster getting OOMKilled repeatedly. Container memory limit set to 512Mi but app requires more during peak load. Pod restarts every 2-3 hours.","Analyzed heap dumps and memory profiling. Application was not releasing database connection pool properly. Fixed connection pool leak in app code. Updated memory limit to 1Gi as precaution. Pod stable for 48 hours.",Resolved,Highest,devops-team
VDS-1005,Permission denied accessing S3 bucket from Lambda,"Lambda function returns AccessDenied when trying to read from s3://vds-artifacts bucket. Function has execution role but missing S3 permissions.","Added s3:GetObject and s3:ListBucket permissions to Lambda execution role IAM policy. Updated trust policy to allow lambda.amazonaws.com. Function now reads S3 successfully.",Resolved,Medium,cloud-team
VDS-1006,PostgreSQL query taking 45 seconds on large dataset,"SELECT query on tickets table with 2M rows taking 45+ seconds. No index on created_at column which is used in WHERE clause. Causes timeout in application.","Added index: CREATE INDEX CONCURRENTLY idx_tickets_created_at ON tickets(created_at). Query time reduced from 45s to 0.3s. Also added composite index on (status, created_at) for common filter pattern.",Resolved,High,db-team
VDS-1007,LDAP authentication failing for new users,"New joiners cannot log in to internal tools. LDAP bind fails with invalid credentials even with correct password. Existing users unaffected.","New user accounts were in a different LDAP OU (ou=contractors vs ou=employees). Updated application LDAP search base to include both OUs: dc=stellantis,dc=com. New users can now authenticate.",Resolved,Medium,iam-team
VDS-1008,Jenkins pipeline stuck in queue for 2 hours,"Build pipeline stuck in executor queue. Jenkins shows 0 available executors. All agents offline. Urgent release blocked.","Jenkins agents lost connection due to EC2 instance type change that reset security groups. Re-applied security group rules allowing Jenkins master to reach agents on port 8080. All agents back online.",Resolved,Highest,devops-team
VDS-1009,SSL certificate expired on internal API gateway,"Internal services getting SSL handshake failures. Certificate on api-internal.vds.stellantis expired 2 days ago. Multiple services affected.","Renewed SSL certificate from internal CA. Updated certificate in AWS ACM and API Gateway. Redeployed. All services restored. Added monitoring alert for certificate expiry 30 days in advance.",Resolved,Highest,infra-team
VDS-1010,Redis cache connection pool exhausted,"Application throwing RedisConnectionError: max number of clients reached. Redis maxclients set to 100 but app spawning too many connections.","Application was not closing Redis connections after use. Added connection pooling (max 20 connections per instance) using redis-py ConnectionPool. Also increased Redis maxclients to 500 for headroom.",Resolved,High,db-team
VDS-1011,New developer cannot clone Git repository,"New developer getting 403 Forbidden when trying to clone internal GitLab repo. Has GitLab account but no access to VDS group.","Added developer to VDS GitLab group with Developer role. Also added to specific project repos. Clone working now. Updated onboarding checklist to include GitLab access provisioning.",Resolved,Medium,iam-team
VDS-1012,Kubernetes deployment rollout stuck at 0/3 pods ready,"kubectl rollout status shows Waiting for deployment rollout to finish: 0 of 3 updated replicas are available. ImagePullBackOff error.","Docker image tag referenced in deployment manifest did not exist in JFrog registry. CI pipeline pushed to wrong registry path. Fixed image path in deployment yaml. Rollout completed successfully.",Resolved,High,devops-team
VDS-1013,Disk space 95% full on build server,"CI build server dev-build-01 at 95% disk usage. Builds starting to fail with no space left on device errors. Server has 500GB disk.","Ran cleanup: removed Docker images older than 7 days (docker system prune -a), cleared /tmp, removed old build artifacts. Freed 180GB. Added automated cleanup cron job to run weekly. Set up disk usage alert at 80%.",Resolved,High,infra-team
VDS-1014,API rate limit causing 429 errors in integration,"Third-party API integration returning HTTP 429 Too Many Requests. Current implementation makes synchronous calls in a loop without throttling.","Implemented exponential backoff retry logic and request queuing. Added rate limiter (10 req/sec). Moved to async processing with job queue (Redis + Celery). 429 errors eliminated.",Resolved,Medium,app-team
VDS-1015,Users cannot access internal tools after VPN change,"After network team changed VPN gateway, internal tool URLs unreachable. DNS resolving to old IP. Affects all remote users.","DNS records for internal tools were still pointing to old VPN gateway IP. Updated internal DNS zone records to new gateway IPs. Propagation completed in 10 mins. Users confirmed access restored.",Resolved,High,network-team
